Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl
1,清华大学,中二之力,10,1310,Gold,杜瑜皓,吴作凡,徐明宽,N,N
2,清华大学,24726,9,1372,Gold,高睿泉,徐海珂,钟知闲,N,N
3,南京大学,咖啡鸡,8,1004,Gold,凌浩,刘弘洋,张扬播,N,N
4,复旦大学,祈求者,8,1268,Gold,高铭鸿,吴明健,王轩宇,N,N
5,香港大学,GMT+7,7,843,Gold,郭健曦,李俊諺,許百楠,N,N
6,华东师范大学,acm.ecnu.edu.cn,6,356,Gold,林方欣,周亦然,张羽戈,N,N
7,上海交通大学,人类智慧,6,433,Gold,孙恩泽,罗中瑭,毛潇涵,N,N
8,浙江大学,Reconquista,6,477,Gold,颜姜哲,蒋仕彪,刘振威,N,N
9,复旦大学,结晶光辉,6,531,Gold,周霖,温昕岳,苏津岳,N,N
10,北京大学,c++11(c++11),6,546,Gold,孙奕灿,黄致焕,黄臻祺,N,N
11,广东工业大学,穷游中国,6,561,Gold,唐铭锴,杨富强,林渲竺,N,N
12,中山大学,中山大学,6,639,Gold,傅畅,黄途亮,刘瀚之,N,N
13,中山大学,中山大学,6,641,Silver,林一诺,李洋,邓明昱,N,N
14,北京邮电大学,格雷科技,6,689,Silver,潘鹤翔,张恺晨,董冉,N,N
15,香港科技大学,Beat Yiquan,6,709,Silver,王天赐,叶智恺,周晟,N,N
16,北京航空航天大学,趣味时光,6,709,Silver,伍俊洁,钟梓皓,邓一兴,N,N
17,哈尔滨工业大学,落日余晖,6,757,Silver,姚顺,于金鹭,陈海峰,N,N
18,南京大学,Calabash！,6,779,Silver,陈劭源,王冬杨,王淳扬,N,N
19,上海交通大学,类星体,6,782,Silver,陈伟哲,卢宇欣,郭林松,N,N
20,电子科技大学,UESTC,6,789,Silver,李子通,金欧文,刘昕,N,N
21,浙江工业大学,欢迎报考浙江工业幼儿园,6,797,Silver,李弘毅,李昕虎,陶宇星,N,N
22,浙江大学,YaSHa,6,813,Silver,黄洋逸,刘一辰,邓浩然,N,N
23,武汉大学,我才不要这个队名呢,6,826,Silver,郭松,刘瑾俐,黄敬哲,N,N
24,华南理工大学软件学院,打完这场送队友养老,6,878,Silver,孙宇鹏,黄浩填,王络,N,N
25,东南大学,艾斯易悠,6,980,Silver,张建东,陈曦,韩数,N,N
26,杭州电子科技大学,杭电一队,6,1011,Silver,陈惇显,祝之禺,徐景滨,N,N
27,同济大学,荠蒻,6,1019,Silver,刘毅韬,欧阳小伟,任秋宇,N,N
28,湖南大学,乌龙茶,6,1063,Silver,陈安祺,周国浩,朱伟劲,N,N
29,长沙理工大学,四斋蒸鹅心,6,1157,Silver,张昊,刘健博,刘乐遥,N,N
30,福州大学,小黄鸭,5,355,Silver,吴媛媛,尹泽锋,傅滨,N,N
31,北京交通大学,我是一名守护者,5,465,Silver,吴泽航,王丹羽,郑栩僮,N,N
32,华中科技大学,我想吃烧味拼盘虾饺烧麦红米肠蚝仔烙潮汕牛肉火锅,5,481,Silver,张嘉辉,陈威宇,武敏颜,N,N
33,重庆大学,这题不是随便搞吗,5,486,Silver,张博虓,徐茂凯,汪啸宇,N,N
34,北京邮电大学,未知数,5,503,Silver,张泉,褚孝杰,刘兆岩,N,N
35,山东理工大学,我卢某人没有开挂,5,505,Silver,李东庆,孙振强,李绪伟,N,N
36,南京邮电大学,从零开始,5,512,Silver,李尧羿,吴永琦,孙斗南,N,N
37,浙江大学宁波理工学院,忒修斯之船,5,516,Silver,叶森,颜蒙杰,陈一帆,N,N
38,北京理工大学,乖乖站好,5,554,Bronze,尹昊,徐子懋,龙水彬,N,N
39,四川大学,野花,5,592,Bronze,孙典圣,陈荣钰,嵇名程,N,N
40,中国科学院大学,前方高能所,5,601,Bronze,韩雨,李建徽,任瀚昇,N,N
41,南方科技大学,SUSTech,5,657,Bronze,贺启旸,朱泓霖,黄博,N,N
42,中国科学技术大学,中科大18队,5,680,Bronze,陈墨涵,林元芃,曾明亮,N,N
43,杭州师范大学,TI1050,5,696,Bronze,薛鸿涛,潘律旨,罗天松,N,N
44,苏州大学,奶昌，抱抱我,5,702,Bronze,祝秀军,王仁杰,郝永昌,N,N
45,浙江理工大学,林少，这题开不开,5,711,Bronze,林航宇,杨昊泽,罗晨宇,N,N
46,哈尔滨理工大学,我永远喜欢高放学长,5,736,Bronze,高尚,张皓然,季发虎,N,N
47,北京化工大学,*,5,751,Bronze,赵伟杰,邓佩瑶,刘权达,N,N
48,东北林业大学,有何贵干,5,764,Bronze,牟冠华,张云铭,宋健宇,N,N
49,浙江农林大学,快乐风男hasaki,5,805,Bronze,黄磊,余凯,顾博盛,N,N
50,重庆邮电大学,键来!,5,818,Bronze,林锦,李超予,鲁运,N,N
51,浙江大学城市学院,不看晕针,5,835,Bronze,吴成铭,周佳辉,周德阳,N,N
52,北京师范大学,圆环之理,5,844,Bronze,吴剑荣,黄鸣宇,吴松原,N,N
53,山东大学,队友说打完青岛就退役！,5,970,Bronze,赵玉鑫,霍瑜,杜保河,N,N
54,南京航空航天大学,还差得远呢,5,1123,Bronze,吕超杰,王浩泽,尼博琳,N,N
55,北京航空航天大学,除了AC,4,246,Bronze,郭镕昊,王嘉翼,姜圣虎,N,N
56,华中科技大学,队友叫我AC，我怎么AC啊,4,295,Bronze,李毅朝,罗宇兵,董小钧,N,N
57,浙江中医药大学,诶等等？！,4,309,Bronze,陈志渠,林初阜,周期律,N,N
58,大连理工大学开发区校区,overcoded,4,312,Bronze,傅心语,任奕舟,林俊贤,N,N
59,中国矿业大学,嘟嘟噜,4,318,Bronze,蒋理文,蒋宇,陈俊宇,N,N
60,东北大学秦皇岛分校,我RE，我快乐,4,333,Bronze,金轶凡,吴嘉梁,毛润,N,N
61,华南农业大学,河底摸鱼,4,375,Bronze,谭志康,黄柏贵,肖文洋,N,N
62,中国传媒大学,模板搬运工,4,406,Bronze,初国俊,邓楚盟,夏业伟,N,Y
63,深圳大学,喵帕斯,4,445,Bronze,傅奕飞,周园洲,胡杰仁,N,N
64,河海大学,猪肘子我正在煮,4,451,Bronze,郑涌,王文,张世伟,N,N
65,湘潭大学,我们教练会写签到题,4,458,Bronze,斯海洋,程坚,郭晨亮,N,N
66,南阳理工学院,复读机天下第一,4,467,Bronze,贺鹏程,程天祥,高胤润,N,N
67,上海大学,心动网络-潜心队,4,474,Bronze,俞硕文,许立雄,任悦,N,N
68,华中师范大学,肥仔欢乐队2.0,4,490,Bronze,武玥彤,朱有为,金秀树,N,N
69,华东理工大学,亮剑,4,520,Bronze,付成瑜,傅志凌,彭博,N,N
70,浙江财经大学,小鸡爱吃肯德基,4,539,Honorable,黄森林,王教律,于翔,N,N
71,武汉科技大学,黎明预言,4,540,Honorable,王星,刘银虎,胡辰,N,N
72,东北师范大学,三线程,4,571,Honorable,许征航,赵梦宇,樊友朋,N,N
73,中国石油大学（北京）,我为祖国献石油,4,593,Honorable,吕博枫,李昊元,冯云豪,N,N
74,福建工程学院,一比一比一,4,596,Honorable,许伟骐,陈鑫,陈盛廸,N,N
75,广东海洋大学,不可抗力,4,609,Honorable,谭棋钊,康泽恩,麦朗迅,N,N
76,中国海洋大学,里约热内卢奶牛,4,622,Honorable,唐汉林,张高阳,张航,N,N
77,山东科技大学,疯马号,4,692,Honorable,郝宗寅,王树河,肖沂锟,N,N
78,浙江科技学院,浙科梦,4,703,Honorable,戴梁辉,胡恩泽,刘汉林,N,N
79,浙江师范大学,奶茶还是大杯好喝,4,723,Honorable,张骏,张胜,金明熠,N,N
80,国防科技大学,云浪我则呀生把给放纵爱既有,4,730,Honorable,邱昊中,宋澎玉,夏功榆,N,N
81,长春理工大学,嗨呀气死了,4,910,Honorable,李泽鹏,陈昶文,孟令书,N,N
82,天津大学,TJU,3,152,Honorable,冯桥,张启晗,樊鹏,N,N
83,南京理工大学,跃迁引擎,3,171,Honorable,王珂,颜俊梁,王兵,N,N
84,南京晓庄学院,全体起立,3,173,Honorable,蒋俊杰,夏天阳,薛明怡,N,N
85,北华大学,我思故我在,3,230,Honorable,欧阳隆,林倩,秦鹏,N,N
86,中北大学,二龙山上的小虫子,3,231,Honorable,陈权威,黄秋娟,李子轩,N,N
87,山东师范大学,做自己的舔狗,3,245,Honorable,陈仕博,任耀辰,王远睿,N,N
88,西安电子科技大学,时光飞逝,3,247,Honorable,韦润民,黄海同,余天焕,N,N
89,香港城市大学,八强之巅,3,253,Honorable,翟兴钰,汪方舟,郑乐谦,N,N
90,湖南科技大学,萌新极客,3,263,Honorable,孙庞博,汤越凡,徐赛博,N,N
91,湖南师范大学,埃及牛X,3,269,Honorable,杨盼成,郭子源,陆泽军,N,N
92,东北大学,赏金猎人,3,270,Honorable,袁乾宸,王惟,杨博,N,N
93,郑州大学,来两份涮羊肉,3,279,Honorable,陈洋,陈炜超,支麒越,N,N
94,暨南大学,红豆泥,3,282,Honorable,黄芝琪,黄书鹏,张力豪,N,N
95,天津工业大学,出来看神仙,3,314,Honorable,董京林,门剑锋,李孜,N,N
96,南开大学,鹏,3,358,Honorable,王明鹏,金鹏翔,卢政先,N,Y
97,厦门大学,多吃菜,3,411,Honorable,岳宇超,张添翼,赵佳驰,N,N
98,台州学院,最大牛,3,419,Honorable,黄睿博,陶源,詹志龙,N,N
99,哈尔滨工业大学(深圳),南国小鸡,3,425,Honorable,刘颂唐,宁之涵,廖儒,N,N
100,西南民族大学,三只小猪闯天下,3,478,Honorable,蒋弦峰,谭瑞,杨玉婷,N,N
101,哈尔滨工程大学,青青草原,3,550,Honorable,张凌源,连金清,许明杰,N,N
102,西北大学,NEcarry,2,197,Honorable,黄德翔,胡谱赟,程嘉承,N,N
103,中南大学,咕咕咕？,2,231,Honorable,吴垠,刘佳妮,朱思雨,N,N
104,东华大学,伟大航路,2,253,Honorable,索文杰,陈辉,胡怡淳,N,N
105,桂林电子科技大学,卖女孩的小火柴,2,294,Honorable,傅秋雨,段诩,谭珂,N,N
106,西安邮电大学,糖糖真好吃,2,337,Honorable,张天泰,黄文丰,杨晨磊,N,N
107,华中农业大学,广东AC故事,2,501,Honorable,李思作,张博期,庄小帅,N,N
108,广东外语外贸大学,难受的一匹,1,26,Honorable,曾迪鸿,叶俊杰,邝江洲,N,N
109,合肥工业大学,表面队友,1,34,Honorable,鲍嘉前,倪宇辰,王子健,N,N
110,湖南中医药大学,HNUCM-小老弟我们走！,1,38,Honorable,殷彪,杨冯天赐,钟子元,N,N
111,河南大学,为你千千万万遍,1,44,Honorable,蔡文飞,陈安然,高超尘,N,N
112,西安交通大学,死也不写计算几何,0,0,Honorable,,,,N,N
